SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_Code,Count,Code,CodeDescription,ShortName
1,V1,Ratio - High Front,The ratio of high front vowels compared to the total number of vowels in the song.,Vowel Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),See Guide to Coding Phonotactics (Wood 2021) for explanations of height and backness in defining vowel areas.,1_NA,0,NA,Missing data,Missing data
2,,,,,,,,1_1,32,1,Absence of high front vowels.,0%
3,,,,,,,,1_2,29,2,From one clear instance to 5 percent high front vowels.,5%
4,,,,,,,,1_3,136,3,From 10 to 15 percent high front vowels.,10-15%
5,,,,,,,,1_4,103,4,From 20 to 25 percent high front vowels.,20-25%
6,,,,,,,,1_5,24,5,From 30 to 35 percent high front vowels.,30-35%
7,,,,,,,,1_6,6,6,From 40 to 50 percent high front vowels.,40-50%
8,,,,,,,,1_7,8,7,55 percent high front vowels or higher.,55% plus
9,V2,Ratio - High Central,The ratio of high central vowels compared to the total number of vowels in the song.,Vowel Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),See Guide to Coding Phonotactics (Wood 2021) for explanations of height and backness in defining vowel areas.,2_NA,0,NA,Missing data,Missing data
10,,,,,,,,2_1,271,1,Absence of high central vowels.,0%
11,,,,,,,,2_2,60,2,From one clear instance to 5 percent high central vowels.,5%
12,,,,,,,,2_3,6,3,From 10 to 15 percent high central vowels.,10-15%
13,,,,,,,,2_4,1,4,From 20 to 25 percent high central vowels.,20-25%
14,,,,,,,,2_5,0,5,From 30 to 35 percent high central vowels.,30-35%
15,,,,,,,,2_6,0,6,From 40 to 50 percent high central vowels.,40-50%
16,,,,,,,,2_7,0,7,55 percent high central vowels or higher.,55% plus
17,V3,Ratio - High Back,The ratio of high back vowels compared to the total number of vowels in the song.,Vowel Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),See Guide to Coding Phonotactics (Wood 2021) for explanations of height and backness in defining vowel areas.,3_NA,0,NA,Missing data,Missing data
18,,,,,,,,3_1,85,1,Absence of high back vowels.,0%
19,,,,,,,,3_2,50,2,From one clear instance to 5 percent high back vowels.,5%
20,,,,,,,,3_3,140,3,From 10 to 15 percent high back vowels.,10-15%
21,,,,,,,,3_4,46,4,From 20 to 25 percent high back vowels.,20-25%
22,,,,,,,,3_5,6,5,From 30 to 35 percent high back vowels.,30-35%
23,,,,,,,,3_6,7,6,From 40 to 50 percent high back vowels.,40-50%
24,,,,,,,,3_7,4,7,55 percent high back vowels or higher.,55% plus
25,V4,Ratio - Mid Front,The ratio of mid front vowels compared to the total number of vowels in the song.,Vowel Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),See Guide to Coding Phonotactics (Wood 2021) for explanations of height and backness in defining vowel areas.,4_NA,0,NA,Missing data,Missing data
26,,,,,,,,4_1,20,1,Absence of mid front vowels.,0%
27,,,,,,,,4_2,13,2,From one clear instance to 5 percent mid front vowels.,5%
28,,,,,,,,4_3,90,3,From 10 to 15 percent mid front vowels.,10-15%
29,,,,,,,,4_4,118,4,From 20 to 25 percent mid front vowels.,20-25%
30,,,,,,,,4_5,67,5,From 30 to 35 percent mid front vowels.,30-35%
31,,,,,,,,4_6,22,6,From 40 to 50 percent mid front vowels.,40-50%
32,,,,,,,,4_7,8,7,55 percent mid front vowels or higher.,55% plus
33,V5,Ratio - Mid Central,The ratio of mid central vowels compared to the total number of vowels in the song.,Vowel Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),See Guide to Coding Phonotactics (Wood 2021) for explanations of height and backness in defining vowel areas.,5_NA,0,NA,Missing data,Missing data
34,,,,,,,,5_1,124,1,Absence of mid central vowels.,0%
35,,,,,,,,5_2,63,2,From one clear instance to 5 percent mid central vowels.,5%
36,,,,,,,,5_3,111,3,From 10 to 15 percent mid central vowels.,10-15%
37,,,,,,,,5_4,20,4,From 20 to 25 percent mid central vowels.,20-25%
38,,,,,,,,5_5,11,5,From 30 to 35 percent mid central vowels.,30-35%
39,,,,,,,,5_6,7,6,From 40 to 50 percent mid central vowels.,40-50%
40,,,,,,,,5_7,2,7,55 percent mid central vowels or higher.,55% plus
41,V6,Ratio - Mid Back,The ratio of mid back vowels compared to the total number of vowels in the song.,Vowel Frequency Ratios,Ordinal,Lomax and Trager (1961-2); Wood (2021),See Guide to Coding Phonotactics (Wood 2021) for explanations of height and backness in defining vowel areas.,6_NA,0,NA,Missing data,Missing data
42,,,,,,,,6_1,38,1,Absence of mid back vowels.,0%
43,,,,,,,,6_2,30,2,From one clear instance to 5 percent mid back vowels.,5%
