Ph-ID,Culture,Ph_cid,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,Active
1,MS Delta Black,24619,5,1,5,2,2,2,1,5,1,1,0,0,3,1,0,4,1,1,1,0,1,0,1,1,1,0,1,1,3,0,4,1,1,1,0,4,0,3,1,3,1,4,2,1,4,3,3,1,5,5,3,1
2,Texas Black,62438,3,1,2,3,3,3,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,3,0,1,4,1,2,1,1,1,1,1,4,2,4,3,2,4,2,3,1,6,5,2,1
3,Alabama Black,62423,7,1,2,3,2,2,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,4,0,1,1,1,1,3,1,1,2,1,2,1,5,3,3,3,3,3,1,6,5,3,1
4,MS Delta Black,24619,4,2,4,3,2,3,4,3,1,1,1,1,1,1,3,1,2,1,1,1,1,0,1,4,1,1,1,1,1,1,1,1,1,1,1,4,0,3,1,3,1,3,4,2,3,3,2,1,6,5,3,1
6,Alabama Black,62423,4,4,4,3,2,2,1,2,4,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,4,1,1,1,0,1,4,4,1,3,1,3,3,2,3,4,1,1,6,5,2,1
7,Texas Black,62438,3,1,2,2,6,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,1,3,1,0,1,1,4,1,1,1,0,2,1,4,1,3,2,2,3,2,4,3,6,6,3,1
8,MS Delta Black,24619,3,1,3,4,2,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,4,1,4,1,1,2,3,1,2,3,3,2,4,3,1,6,5,2,1
9,Alabama Black,62423,4,1,3,3,3,3,1,4,2,1,0,0,4,1,0,1,1,1,1,0,1,1,1,1,1,0,3,2,1,0,1,2,3,4,0,1,1,2,3,3,1,3,4,3,2,2,3,1,6,6,2,1
10,Alabama Black,62423,4,1,4,3,3,4,2,3,1,1,1,1,1,4,1,2,3,1,1,1,1,0,1,1,1,1,1,1,1,0,4,1,1,3,1,1,0,3,1,3,1,3,3,2,3,3,3,1,6,5,3,1
14,Alabama Black,62423,3,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,3,0,1,4,1,1,1,1,1,3,3,3,1,3,3,4,3,3,2,2,6,6,2,1
