Ph-id,C-id,Local_lat,Local_long,Region,Division,Subregion,Area/Kingdom,Culture,Culture_loc,Ph_cid,Audio_notes,Duration,Audio_file,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Lyrics,Living_metadata,Recorded_by,Year,Publisher,Publcation_collection,Repository,Classification_notes,Metadata_notes,Sources,Source Tag
185,1002,44.08,144.02,North Eurasia,E North Eurasia,Russian Far East,Sakhalin Island,Sakhalin Ainu,"Tokoro, Hokkaido, Japan",10209,,0:01:00,T5410R19,T124.1,Ainu Woman's Solo Song,Women's Song,"Women's song, sung by refugee from Karafuto (Sakhalin) to Hokkaido.",Female solo,Female Voice,,,Robert Austerlitz,1957,Previously Unpublished,Robert Austerlitz Recordings,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,Copies of recordings sent from the Linguistics Department of Columbia University,@ALC1957AusterlitzRecordings
187,,44.08,144.02,North Eurasia,E North Eurasia,Russian Far East,Sakhalin Island,Sakhalin Ainu,"Tokoro, Hokkaido, Japan",10209,,,,T124.208,Solo,,,,,,,Robert Austerlitz,1957,Previously Unpublished,Robert Austerlitz Recordings,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"Unclear if ""208"" is the track number or refers to something else",Copies of recordings sent from the Linguistics Department of Columbia University,@ALC1957AusterlitzRecordings
188,,44.08,144.02,North Eurasia,E North Eurasia,Russian Far East,Sakhalin Island,Sakhalin Ainu,"Tokoro, Hokkaido, Japan",10209,,,,T124.265,,,,,,,,Robert Austerlitz,1957,Previously Unpublished,Robert Austerlitz Recordings,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"Unclear if ""265"" is the track number or refers to something else",Copies of recordings sent from the Linguistics Department of Columbia University,@ALC1957AusterlitzRecordings
448,671,36.01,-5.6,Europe,Southern Europe,S Spain,Andalusia,Cadiz,"Tarifa, Cádiz, Andalusia, Spain",10572,,0:02:12,T5468R40,7D1.B6,Yo no parto,Fandango- Chacarrá,"A chacarrá, type of local fandango, from Tarifa, the town nearest to North Africa.","María Benito Nuñez: vocal, clapping; Joaquín Franco: scraped bottle, vocal; Francisco Mena: vocal, small pot lids; Francisco Herrera Nuñez: guitar; Unidentified: vocal, clapping, castanets, triangle, unidentified hand percussion","Female voice, male voice, guitar, palmas (clapping), scraped bottle, small pot lids, castanets, unidentified hand percussion","Yo no parto pa’l que sé 
No parto porque es mi carcel 
Y no parto pa'l que sé 
Parto porque soy mandada 
Y me gusta obedecer (2)
Las sorpresas que liaba
[unintelligible] del gobierno 
Las sorpresas que liaba 
Cuando venía la novia 
La prenda te la quitaba. (2)
No quiero, no quiero ná 
No quiero, no quiero ná (2)
No quiero que te quisiera 
Con los mismos materiales 
Y una casa nueva hiciera.
No quiero, no quiero ná

Translation:

I’m not leaving for just any one
I’m not leaving because it’s my prison,
I’m not leaving for just anyone,
I’m leaving because I am ordered to
and I like to obey (2).
The surprises that confuse one,
[unintelligible] of the government, 
the surprises that confuse one,
when the bride came
and stole the centre place from you.
I don’t want anything (2)
with the same materials
I’d make a new house,
I don’t want anything."," Lomax's notes in his log and on the tape boxes remark that these recordings were made during a fiesta in Tarifa, in the southwest of Andalusia. Lomax calls the tent ""poor,"" and says that the gathering was of people who ""liked old-fashioned fandangos;"" they ""made music until dawn,"" and were not professionals. Several typical small percussion instruments are heard, such as the scraped bottle. [Source: field log, tape boxes]",Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,Songs and Dances of Spain: Volume 1: Cities of Andalusia. Westminster W 12001,@ALA1952Fandango
442,,36.68,-6.12,Europe,Southern Europe,S Spain,Andalusia,Cadiz,"Jerez de la Frontera, Cádiz, Andalusia, Spain",10572,,0:01:56,,7D3.A2,,Alegrias,,"Eduardo Lozano ""El Carbonero"" (vocal), Unidentified men (castanets, clapping, dancing, guitar)",Male Voice; Guitar; Castanets; Clapping,,,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,"Songs and Dances of Spain: Volume 3: Jerez and Seville. Westminster W 9804, 12003",@ALA1952Alegrias
443,,36.68,-6.12,Europe,Southern Europe,S Spain,Andalusia,Cadiz,"Jerez de la Frontera, Cádiz, Andalusia, Spain",10572,,0:02:32,,7D3.A1,,Bulerias,,"Pili (vocal), guitars, castanets",Male Voice; Guitars; Castanets,,,Alan Lomax with Jeannette Bell,1952,Westminster,"Spanish Recordings, ACE Online Archive","Alan Lomax Collection, American Folklife Center, Library of Congress",,,"Songs and Dances of Spain: Volume 3: Jerez and Seville. Westminster W 9804, 12003",@ALA1952Bulerias
350,9319,1.67,16.12,Africa,Central Africa,Equatorial Central Africa,S W Central African Rep/ N Congo,Mbendjele,"Gatongo, Republic of the Congo",11215,,0:00:12,T9512R08,4A23.A2; CHB3A3.5; CHB4B2.1,Pygmy Woman Singing,Yodel; Work Song,Typical jodl a woman would sing while going to fetch water,Female solo,Female Voice,,,"Gilbert Rouget, André Didier, Musée de l'Homme, Ogooué-Congo Expedition",1946,Peabody Museum and Musée de l'Homme,Bushman and Pygmy Music. Peabody Museum and Musée de l'Homme LD9,"Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie, http://archives.crem-cnrs.fr/; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,@CNRS1957BushmanPygmy
312,431,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima,"Former Ankole District, Uganda",11342,,0:10:12,T5440R26,T1244.3,Muhogo,,Song about the people and the landscape,"Mangameishu, Nyinamaruba, antiphonal chorus, humming",Mixed Voices,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1244.3.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
314,437,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima,"Former Ankole District, Uganda",11342,,0:06:55,T5440R25,T1244.2,Song in Defense of the Omugabeship,Political Song; Song About Leadership,Political song about the Omugabe (chieftain),"Male and female leads, interwoven voices",Mixed Voices,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1244.2.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
310,445,-0.49,30.49,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima,"Former Ankole District, Uganda",11342,,0:02:52,T5440R27,T1244.4,Kangameishu's Usual Warm-Up Song,,Warm-up song,"Kangameishu, interweaving male voices, echoing one another",Male Voice; Male Voices,,,Terrance Hopkins; Elizabeth Hopkins,1962-63,Previously Unpublished,Hopkins Recordings from Uganda 1962-1963 T1244.4.,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,"See lectures: Charles Taylor, 'Salient Features of Kinyankore Music'; G. N. P. Kirindi, 'Kinyankore Music, Traditional and Modern'; B. K. Mubangizi, 'Kinyankore Instruments and Types of Music'.",Given to A.L. by Terrence and Elizabeth Hopkins,@ALC1962-3HopkinsUganda
