Society_latitude,Society_longitude,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People2,People3,Arensberglomax_clusters,Focal_years,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Koppen_climate_terrain,Koppen_code,Arensberglomax_taxon,Taxon_id,Language,Language_nearsubfamily,Language_largersubfamily,Language_family,Language_familytree,ISO6393,Glottocode,Country,Country_id,society_id,C_cid,M_cid,P_cid,Ph_cid,Ch_cid,dplace_id,EA_cu_name,EA_cu# UPDATE,Murdock_cu#,EA_Prov_name,EA_Prov_#,EA_#,Culture_Wiki,Society_summary,Notes_1,Notes_2,Culture Sources
-1.54,20.43,0.17,19.02,Africa,Central Africa,Equatorial Central Africa,"Equateur Prov, N W DR Congo ",Ekonda Mongo,Baseka; Mongo-Ekonde,Mongo,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1952,10,,,10,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Waterside,scfal569,Mongo,Greater Bangi-Ntomba,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid",ISO 639-3: lol,mong1338,Democratic Republic of the Congo,,15027,15027,,,15027,15027,,EKONDA,Ae20,15027,Southern Equatorial Bantu,14,45882,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottomong1338 @Ethnolol @WikiMongo  
1.68,16.16,3.5,16.66,Africa,Central Africa,Equatorial Central Africa,S W Central African Rep/ N Congo,Mbendjele,Bayaka; Biaka; Aka; Babinga; Babenzele,C Tropical Forest Hunter Gatherers/ Aka Mbenga,Tano Peoples,West & Central African Peoples,African Gatherers,1946; 1972-77,20,,,1,Tropical Savannah,Aw,,,Akan,Nyo,Kwa Volta-Congo,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Lebonya",ISO 639-3: aka,akan1250,Republic of the Congo,,11215,11215,,,11215,,,BABENZELE; BIAKA,,11215; 30014,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoakan1250 @Ethnoaka @WikiAka  
3.16,11.64,2.17,11.34,Africa,Central Africa,W Equatorial Coast,S Cameroon/ Equatorial Guinea/ N Gabon,Bulu,Boulou; Beti-Pahuin,Beti-Pahuin W Equatorial Bantu,Fang Peoples,West & Central African Peoples,Tropical Gardeners,1954,13,10,,10,"Tropical Savannah, Monsoon","Aw, Am",AH-Tropical Forest,scfal725,Bulu (Cameroon),Yaunde-Fang,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Yaunde-Fang",ISO 639-3: bum,bulu1251,Cameroon; Equatorial Guinea; Gabon,,12783,12783,12783,,12783,,,BULU,,12783,,,61233,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobulu1251 @Ethnobum @WikiBeti-Pahuin  
-0.46,30.55,-0.69,30.54,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima,Hema; Hima; Huma,Banyankole E Bantu,,East African Peoples,Tropical Gardeners,1962-63,13,,,4,Tropical Savannah,Aw,P-African Cattle Nomads,scfal1000,Hema,Great Lakes Bantu,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, West Nyanza, Rutara",ISO 639-3: nix,hema1238,Uganda,,11342,11342,,,11342,11342,,BAHIMA,,11342,,,20012,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottohema1238 @Ethnonix @WikiHororo  
-0.46,30.55,-0.69,30.54,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bahima Bahinda,,Banyankole E Bantu,,East African Peoples,Tropical Gardeners,1962-63,4,,,4,Tropical Savannah,Aw,,,Hema,Great Lakes Bantu,Narrow Bantu,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Narrow Bantu, West Nyanza, Rutara",ISO 639-3: nix,hema1238,Uganda,,11364,11364,,,11364,,,BAHINDA,,11364,,,,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottohema1238 @Ethnonix @WikiHema  
16.92,7.67,19.14,4.33,Africa,Northern Africa,Maghreb/ W Sahara,Algeria/ Burkina Faso/ S W Libya/ Mali/ S Morocco/ Niger,Tuareg,Twareg; Touareg; Imuhagh; Hoggar,Tuareg Berbers,Berbers,North African Peoples,Old Eurasia,1948; 1960; 1963,13,10,,5,Warm Desert,BWh,P-Camel Nomads,scfal1049,Tuareg,Tuareg,Berber,Afro-Asiatic,"Afro-Asiatic, Berber",ISO 639-3: tmh,tuar1240,Niger,,27545,27545,27545,,27545,27545,,TUAREG AHAGGAR,Cc9,27545,Tuareg,46,39275,wiki,"The Tuareg are Berbers who live as semi-nomadic pastoralists in Adrar des Iforas, southern Algeria and Gourara, Timimoun in northern and central Algeria. Historically they once controlled the caravan trade routes across the Sahara. Their economy is based on breeding livestock, agriculture, growing mostly sugarcane and cotton, and trade. They still practice their indigenous religion, believing that most spirits are evil and cause illness. Spirits, called jinn, are believed to play tricks on people who travel the desert. Tuareg women have great freedom and participate in family and tribal decisions and do not wear veils. Their myths speak of female ancestors who founded their traditions which are expressed through traditional music, poetry, and song performed and danced by men and women. In one traditional dance, men on camels circle women who play drums and chant.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotuar1240 @Ethnotmh @WikiTuareg  
-21.92,18.01,-20.54,20.57,Africa,Southern Africa,W & C Southern Africa,Angola/ Botswana/ Namibia/ South Africa/ Zambia,Juǀʼhoansi,Juǀʼhoan; Dzuǀʼoasi; Zû-ǀhoa; Southeastern ǃXuun; Zhul'hoasi; Zhulhoasiǃ; Xun; Kung; iKung; Bushmen,S Savannah Hunter Gatherers/ San Khoisan,African Hunter-Gatherers,Southern African Peoples,African Gatherers,1953; 1961; 1982; 1995; 1950s,20,7,1,12,Semi Arid Steppe Hot,BSh,C-Africa,scfal1,South-Eastern Ju (also known as Juǀʼhoan),South-Eastern Ju,Ju-Kung,Kx'a,"Kx'a, Ju-Kung",ISO 639-3: ktz,juho1239,Namibia,,19262,19262,19262,19262,19262,19262,,KUNG; JU'HOANSI,Aa1,19262,Bushmen,2,15947,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottojuho1239 @Ethnoktz @Wiki!Kung  
14.35,-3.61,13.69,-2.96,Africa,West Africa,Interior West Africa,"Central Plateau, Mali/ Burkina Faso",Dogon,Dogom,Dogon Peoples,,West & Central African Peoples,Tropical Gardeners,1956; 1965;,14,,,11,Semi Arid Steppe Hot,BSh,AH-Sudan,scfal619,Dogon (language isolate),Dogon (language isolate),Dogon (language isolate),Dogon (language isolate),Islolated language,,dogo1299,Burkina Faso; Mali,,14675,14675,,,14675,14675,,DOGON,Ag3,14675,Habe-Senufo,26,21305,wiki,"The Dogon live in the central plateau region of Mali and build their dwellings along the sides of the Bandiagara Escarpment, a sandstone cliff as high as 1,640 feet that divides their land. They are subsistence farmers who grow millet, sorghum, rice, and vegetables and raise goats, sheep, and chickens. They live in villages headed by the Hogon, a spiritual leader elected among the oldest men of the village. The Dogon are known for their masks, which represent the first human beings, and for their sacred sculptures and architecture.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottodogo1299  @WikiDogon  
9.94,-9.69,8.5,-10.07,Africa,West Africa,Interior West Africa,N Guinea/ N Liberia,Loma,Toma; Loghoma; Looma; Lorma,Mandé Peoples,,West & Central African Peoples,Tropical Gardeners,1954; 1952-53,10,,,9,Tropical Savannah,Aw,AH-Sudan,scfal696,Toma,Southwest Mande,Western Mande,Mande,"Mande, Western Mande, Mende-Loma, Loma",ISO 639-3: tod,toma1245,Guinea; Liberia,,27314,27314,,,27314,,,TOMA,Af11,27314,Grain Coast,21,45674,wiki,,,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotoma1245 @Ethnotod @WikiLoma  
-12.29,135.34,-12.62,135.44,Australia,Northern Territory,Arnhem Land,N E Arnhem Land,Yolngu,"Yan-nhaŋu, Djinang, Djinba, Djaŋu, Dangu, Rembarrnga, Ritharngu, Dhuwal, Dhuwala People, Yirrkala",Yolngu Peoples,,Indigenous Australians,Circum-Pacific Hunter/ Foragers,1948; 1949; 1962,9,,,8,Tropical Savannah,Aw,,,Yolŋu Matha (Yuulngu),Yuulngu,Yuulngu,Pama–Nyungan,Pama–Nyungan,,yuul1239,Australia,,30080,30080,,,30080,,,MURNGIN,Id2,,,,,wiki,"The Yolngu are an aggregation of aboriginal Australian people living in north-eastern Arnhem Land of the Northern Territory of Australia. Yolngu means “person” in the Yolngu language. They belong to kinship groups divided into two moieties, the Yirritja and the Dhuwa. Each moiety owns their own lands and has their own language, totems, and worldview. If a man is Yirritja he must marry a Dhuwa woman. Children belong to their father’s moiety. Each moiety owns its own land and everything in the natural world belongs to one or the other moiety.",,,@Murdock1967EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoyuul1239  @WikiYolngu  
